Index,Output,Golden,input_text,output_text,label_space,label_verbalizer,verbalized_label
40,A,A,Determine which option can be inferred from the given Sentence.  Sentence: Position Description : This position will provide technical support for Corporate Actuarial FAS97 Annuity financial reporting work for [ALICO] [Japan] . Options: A. [ALICO] has a branch in the country [Japan] B. [ALICO] has the member [Japan] C. [ALICO] has a branch in the state or province [Japan] D. [ALICO] has a branch in the city [Japan] E. [ALICO] has no known relations to [Japan]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:country_of_branch', 'B': 'org:members', 'C': 'org:stateorprovince_of_branch', 'D': 'org:city_of_branch', 'E': 'no_relation'}",org:country_of_branch
41,B,G,"Determine which option can be inferred from the given Sentence.  Sentence: She 's been at this for more than 30 years and learned from the best , [her] mother , [Eloise Bowles] , who wrote the first Hints from Heloise column for 18 years . Options: A. [her] is the identity/pronoun of [Eloise Bowles] B. [her] and [Eloise Bowles] are the same person C. [her] is the parent of [Eloise Bowles] D. [her] is the spouse of [Eloise Bowles] E. [her] is the siblings of [Eloise Bowles] F. [her] is the other family member of [Eloise Bowles] G. [her] has the parent [Eloise Bowles] H. [her] has no known relations to [Eloise Bowles]  Which option can be inferred from the given Sentence? Option:",G,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:parents
42,C,A,Determine which option can be inferred from the given Sentence.  Sentence: [He] was a subcontractor for an economic development organization called [Development Alternatives Inc.] . Options: A. [He] is the employee of [Development Alternatives Inc.] B. [He] studied in [Development Alternatives Inc.] C. [He] has no known relations to [Development Alternatives Inc.]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C']","{'A': 'per:employee_of', 'B': 'per:schools_attended', 'C': 'no_relation'}",per:employee_of
43,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: '' Our dad passed away when Emily was 17 and I was 18 , '' says [Sarah Kunstler] , [33] , who is also an attorney . Options: A. [Sarah Kunstler] has the age [33] B. [Sarah Kunstler] has birthday on [33] C. [Sarah Kunstler] died in the date [33] D. [Sarah Kunstler] has no known relations to [33]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'per:age', 'B': 'per:date_of_birth', 'C': 'per:date_of_death', 'D': 'no_relation'}",per:age
44,H,A,Determine which option can be inferred from the given Sentence.  Sentence: American Amanda Knox on Friday accused police of forcing false statements out of her after [she] was arrested over the 2007 sex-murder of her British housemate in central [Italy] . Options: A. [she] lives in the country [Italy] B. [she] has the nationality [Italy] C. [she] is the employee of [Italy] D. [she] was born in the country [Italy] E. [she] died in the country [Italy] F. [she] lives in the city [Italy] G. [she] died in the city [Italy] H. [she] has no known relations to [Italy]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:countries_of_residence', 'B': 'per:origin', 'C': 'per:employee_of', 'D': 'per:country_of_birth', 'E': 'per:country_of_death', 'F': 'per:cities_of_residence', 'G': 'per:city_of_death', 'H': 'no_relation'}",per:countries_of_residence
45,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: '' We are looking at a younger group of people who have many similarities , '' said [Catherine Hill] , director of research for the [AAUW] . Options: A. [AAUW] was founded by [Catherine Hill] B. [AAUW] has the high level member [Catherine Hill] C. [AAUW] has shares hold in [Catherine Hill] D. [AAUW] has no known relations to [Catherine Hill]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",org:top_members/employees
46,C,C,"Determine which option can be inferred from the given Sentence.  Sentence: Survivors include his wife , Sandra ; four sons , Jeff , [James] , Douglas and Harris ; a daughter , Leslie ; [his] mother , Sally ; and two brothers , Guy and Paul . Options: A. [his] is the identity/pronoun of [James] B. [his] and [James] are the same person C. [his] is the parent of [James] D. [his] is the spouse of [James] E. [his] is the siblings of [James] F. [his] is the other family member of [James] G. [his] has the parent [James] H. [his] has no known relations to [James]  Which option can be inferred from the given Sentence? Option:",C,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:children
47,A,A,Determine which option can be inferred from the given Sentence.  Sentence: [Alessi] said that she was [Catholic] but that she had long ago lost her illusions . Options: A. [Alessi] has the religion [Catholic] B. [Alessi] has no known relations to [Catholic]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B']","{'A': 'per:religion', 'B': 'no_relation'}",per:religion
48,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: BEIJING , Oct 21 ( Xinhua ) China shut 1,355 small coal mines with production capacity of 12519 million tonnes in the first nine months this year , the [National Energy Administration] ( [NEA] ) said . Options: A. [National Energy Administration] is also known as [NEA] B. [National Energy Administration] has the member [NEA] C. [National Energy Administration] is the member of [NEA] D. [National Energy Administration] has shares hold in [NEA] E. [National Energy Administration] has no known relations to [NEA]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:alternate_names', 'B': 'org:members', 'C': 'org:member_of', 'D': 'org:shareholders', 'E': 'no_relation'}",org:alternate_names
49,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: The trail led as high as the former director of the city 's judicial department , [Wen Qiang] , who was executed after convictions involving bribery , rape , [extortion] and gang-related activities . Options: A. [Wen Qiang] died because of [extortion] B. [Wen Qiang] is convicted of [extortion] C. [Wen Qiang] has no known relations to [extortion]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C']","{'A': 'per:cause_of_death', 'B': 'per:charges', 'C': 'no_relation'}",per:charges
50,A,A,Determine which option can be inferred from the given Sentence.  Sentence: [Her] body was found in [February 1976] north of Wanblee with a gunshot wound to the head . Options: A. [Her] died in the date [February 1976] B. [Her] has birthday on [February 1976] C. [Her] has the age [February 1976] D. [Her] died because of [February 1976] E. [Her] has no known relations to [February 1976]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C', 'D', 'E']","{'A': 'per:date_of_death', 'B': 'per:date_of_birth', 'C': 'per:age', 'D': 'per:cause_of_death', 'E': 'no_relation'}",per:date_of_death
51,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: Many did default , including [Prachai] , the founder of [Thai Petrochemical Industry] , to the tune of US$ 2.7 billion . Options: A. [Thai Petrochemical Industry] was founded by [Prachai] B. [Thai Petrochemical Industry] has the high level member [Prachai] C. [Thai Petrochemical Industry] has shares hold in [Prachai] D. [Thai Petrochemical Industry] has no known relations to [Prachai]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D']","{'A': 'org:founded_by', 'B': 'org:top_members/employees', 'C': 'org:shareholders', 'D': 'no_relation'}",org:founded_by
52,A,A,Determine which option can be inferred from the given Sentence.  Sentence: A Haitian court has convicted [American] missionary [Laura Silsby] of arranging to transport 33 children out of the country following the Jan 12 earthquake . Options: A. [Laura Silsby] has the nationality [American] B. [Laura Silsby] died in the country [American] C. [Laura Silsby] is the employee of [American] D. [Laura Silsby] lives in the country [American] E. [Laura Silsby] was born in the city [American] F. [Laura Silsby] was born in the country [American] G. [Laura Silsby] was born in the state or province [American] H. [Laura Silsby] has no known relations to [American]  Which option can be inferred from the given Sentence? Option:,A,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:origin', 'B': 'per:country_of_death', 'C': 'per:employee_of', 'D': 'per:countries_of_residence', 'E': 'per:city_of_birth', 'F': 'per:country_of_birth', 'G': 'per:stateorprovince_of_birth', 'H': 'no_relation'}",per:origin
53,E,E,"Determine which option can be inferred from the given Sentence.  Sentence: He is also survived by his parents and a sister , [Karen Lange] , of Washington , and a brother , Adam [Lange] , of St Louis . Options: A. [Lange] is the identity/pronoun of [Karen Lange] B. [Lange] and [Karen Lange] are the same person C. [Lange] is the parent of [Karen Lange] D. [Lange] is the spouse of [Karen Lange] E. [Lange] is the siblings of [Karen Lange] F. [Lange] is the other family member of [Karen Lange] G. [Lange] has the parent [Karen Lange] H. [Lange] has no known relations to [Karen Lange]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:identity', 'B': 'per:identity', 'C': 'per:children', 'D': 'per:spouse', 'E': 'per:siblings', 'F': 'per:other_family', 'G': 'per:parents', 'H': 'no_relation'}",per:siblings
54,E,E,"Determine which option can be inferred from the given Sentence.  Sentence: The footprint was found on a bathroom rug in the house in Perugia , central [Italy] , where [Meredith Kercher] was killed in November 2007 . Options: A. [Meredith Kercher] lives in the country [Italy] B. [Meredith Kercher] has the nationality [Italy] C. [Meredith Kercher] is the employee of [Italy] D. [Meredith Kercher] was born in the country [Italy] E. [Meredith Kercher] died in the country [Italy] F. [Meredith Kercher] lives in the city [Italy] G. [Meredith Kercher] died in the city [Italy] H. [Meredith Kercher] has no known relations to [Italy]  Which option can be inferred from the given Sentence? Option:",E,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H']","{'A': 'per:countries_of_residence', 'B': 'per:origin', 'C': 'per:employee_of', 'D': 'per:country_of_birth', 'E': 'per:country_of_death', 'F': 'per:cities_of_residence', 'G': 'per:city_of_death', 'H': 'no_relation'}",per:country_of_death
55,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: Clayton also was hands-on as he helped archive of '' one of the largest collections of African-Americana , '' said Sue Hodson , director of literary manuscripts at the [Huntington Library] in [San Marino] , Calif . Options: A. [Huntington Library] has a branch in the city [San Marino] B. [Huntington Library] has the member [San Marino] C. [Huntington Library] has a branch in the state or province [San Marino] D. [Huntington Library] has a branch in the country [San Marino] E. [Huntington Library] has no known relations to [San Marino]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B', 'C', 'D', 'E']","{'A': 'org:city_of_branch', 'B': 'org:members', 'C': 'org:stateorprovince_of_branch', 'D': 'org:country_of_branch', 'E': 'no_relation'}",org:city_of_branch
56,B,B,"Determine which option can be inferred from the given Sentence.  Sentence: Physicist [Andrew E Lange] , co-leader of an international team that produced a detailed image of remnants of the Big Bang showing the universe is flat , has died in an apparent [suicide] , police said Tuesday . Options: A. [Andrew E Lange] is convicted of [suicide] B. [Andrew E Lange] died because of [suicide] C. [Andrew E Lange] has no known relations to [suicide]  Which option can be inferred from the given Sentence? Option:",B,"['A', 'B', 'C']","{'A': 'per:charges', 'B': 'per:cause_of_death', 'C': 'no_relation'}",per:cause_of_death
57,A,A,"Determine which option can be inferred from the given Sentence.  Sentence: September Pledge for Peace Petition Sign the Pledge for Peace Petition ( [http://pdamerica.org/petition/pledge-for-peace.php] ) now , and [Progressive Democrats of America] will deliver the petition to Congress before the vote . Options: A. [Progressive Democrats of America] has the website [http://pdamerica.org/petition/pledge-for-peace.php] B. [Progressive Democrats of America] has no known relations to [http://pdamerica.org/petition/pledge-for-peace.php]  Which option can be inferred from the given Sentence? Option:",A,"['A', 'B']","{'A': 'org:website', 'B': 'no_relation'}",org:website
